,filename,time,w_pre,w
132,MOD05_L2.A2014017.1420.061.2017308120707.hdf,20140171420,-9999.0,-9.999000474927016
133,MOD05_L2.A2014017.1555.061.2017308120755.hdf,20140171555,-9999.0,-9.999000474927016
134,MOD05_L2.A2014017.1735.061.2017308120955.hdf,20140171735,-9999.0,-9.999000474927016
135,MOD05_L2.A2014017.1910.061.2017308121138.hdf,20140171910,-9999.0,-9.999000474927016
136,MOD05_L2.A2014017.2045.061.2017308121255.hdf,20140172045,-9999.0,-9.999000474927016
137,MOD05_L2.A2014017.2225.061.2017308121402.hdf,20140172225,-9999.0,-9.999000474927016
138,MOD05_L2.A2014018.0005.061.2017308124858.hdf,20140180005,-9999.0,-9.999000474927016
139,MOD05_L2.A2014018.1145.061.2017308124556.hdf,20140181145,-9999.0,-9.999000474927016
140,MOD05_L2.A2014018.1325.061.2017308124650.hdf,20140181325,-9999.0,-9.999000474927016
141,MOD05_L2.A2014018.1500.061.2017308124502.hdf,20140181500,-9999.0,-9.999000474927016
142,MOD05_L2.A2014018.1640.061.2017308124437.hdf,20140181640,-9999.0,-9.999000474927016
143,MOD05_L2.A2014018.1815.061.2017308124525.hdf,20140181815,-9999.0,-9.999000474927016
144,MOD05_L2.A2014018.1955.061.2017308124556.hdf,20140181955,-9999.0,-9.999000474927016
145,MOD05_L2.A2014018.2130.061.2017308124435.hdf,20140182130,-9999.0,-9.999000474927016
146,MOD05_L2.A2014018.2310.061.2017308124453.hdf,20140182310,-9999.0,-9.999000474927016
147,MOD05_L2.A2014019.1230.061.2017308132117.hdf,20140191230,-9999.0,-9.999000474927016
148,MOD05_L2.A2014019.1405.061.2017308132431.hdf,20140191405,-9999.0,-9.999000474927016
149,MOD05_L2.A2014019.1545.061.2017308131941.hdf,20140191545,-9999.0,-9.999000474927016
150,MOD05_L2.A2014019.1720.061.2017308131918.hdf,20140191720,-9999.0,-9.999000474927016
151,MOD05_L2.A2014019.1900.061.2017308132018.hdf,20140191900,-9999.0,-9.999000474927016
152,MOD05_L2.A2014019.2035.061.2017308131734.hdf,20140192035,-9999.0,-9.999000474927016
153,MOD05_L2.A2014019.2215.061.2017308131755.hdf,20140192215,-9999.0,-9.999000474927016
